title,author,publisher,year,pages,tags,description
거울을 든 아이,안나 회글룬드,곰곰,2022,52,"기타, 200쪽 이하, 교양",괴물을 무찌르러 떠난 아빠를 구원하는 용기 있는 소녀의 감동적인 이야기다. 지혜로 돌이 된 사람들을 구하는 이야기는 빨간망토를 생각나게 한다. 나이와 상관 없는 지혜의 힘이 느껴진다.
"걱정말아요, 그대",JTBC '김제동의 톡투유' 제작진,중앙북스,2016,248,"문학, 200~300쪽, 에세이","김제동의 톡투유' 속 이야기를 엮어낸 에세이집. 일상에 지친 어느 날, 나만의 대나무숲이 필요할 때 도움이 된다."
건너간다,이인휘,창비,2017,324,"문학, 300쪽 이상, 소설",작은 식품공장에서 일하는 사람들이 작업장의 문제를 해결해나가는데 가슴이 두근거리며 읽게 된다.
걷는 사람 하정우,하정우,문학동네,2018,296,"문학, 200~300쪽, 에세이","내가 하정우라면, 돈 많은 연예인이라면 휴식 시간을 어떻게 보낼까? 굳이 이렇게 걷기 강행군을 했을까? 무명 시절부터 걷고 또 걸었던 그만의 걷기 철학을 들어보자. 책을 읽기 전 일단 먼저 걸어도 좋다."
겨울방학,최진영,민음사,2019,304,"문학, 300쪽 이상, 소설","같은 방향으로 걷도록 요구되지만, 각자 다른 모습이기에 자신만의 과제를 해결하기 위해 애쓰는 외로운 사람들의 이야기. 그러나 각자의 과제를 꽉 붙들고 있는 사람들의 모습은 찐하게 아름답다."
겨울방학(겨울방학),최진영,민음사,2019,,"문학, 200~300쪽, 소설","초등학생 이나와 고모가 함께 보내는 겨울 방학 이야기, 이나의 눈에는 고모의 삶이 이상하기만 하다. 텔레비전, 침대, 신발장도 없는 고모는 아침밥도 먹지 않는다. 배려란 밥 먹지 않는 이에게 밥먹으라 떠 먹이는 것만 존재하는 게 아닌, 밥 먹지 않음을 존중하는 마음도 존재함을 알게 하는 소설. 단단한 고모의 삶이 부러워지는 소설이다."
결국 다시 경제민주화다,김종인,박영사,2017,278,"인문사회, 200~300쪽, 교양",헌법에서 보장하는 경제민주화 이야기. 경제민주화에 대한 그릇된 오해와 편견을 바로잡기 위한 책
경년 (현남 오빠에게),김이설,다산책방,2017,,"문학, 200~300쪽, 소설","중학생 '아들'의 충격적인 일탈에 '엄마'는 아들과 관계를 가졌을 여자아이들을 걱정하고, 또 초경을 시작하는 딸아이를 보면 안타깝기만 하다."
경애의 마음,김금희,창비,2018,356,"문학, 300쪽 이상, 소설","회사의 부당해고에 맞선 파업 중 일어난 성폭행에 대한 고발, 친한 친구의 사고, 연인의 결혼과 계속되는 만남 등으로 인해 자신을 배척하고 손가락질하는 사람들 속에서, 부서지는 마음이지만 폐기하지 않은 채 꿋꿋이 살아가는 경애의 이야기."
경우 없는 세계,백온유,창비,2023,280,"문학, 200~300쪽, 소설","어떤 순간 가출을 결심한 소년이 집을 나와 만나게 된 상황과 이야기. 생생한 심리묘사가 압권이며 청소년 시기 그들의 마음 속 상처와 고민들을 잘 알 수 있는 소설이다. 인물들의 행동과 선택에 대해 이야기할 거리가 많고, 특별한 감동을 준다."
